hostname,os,environment,country,node
LDITA003,Linux,Development,Italy,3
SSIRL002,Solaris,Staging,Ireland,2
LDESP001,Linux,Development,Spain,1
LSIRL004,Linux,Staging,Ireland,4
SPESP003,Solaris,Production,Spain,3
LPESP005,Linux,Production,Spain,5
ASNOR001,AIX,Staging,Norway,1
LIDEU003,Linux,Integration,Germany,3
LPIRL002,Linux,Production,Ireland,2
LPIRL003,Linux,Production,Ireland,3
ATITA003,AIX,Testing,Italy,3
STIRL003,Solaris,Testing,Ireland,3
SSITA003,Solaris,Staging,Italy,3
SDDEU001,Solaris,Development,Germany,1
AINOR001,AIX,Integration,Norway,1
ATFRA002,AIX,Testing,France,2
LPESP006,Linux,Production,Spain,6
SPIRL004,Solaris,Production,Ireland,4
HTDEU002,HP-UX,Testing,Germany,2
SSDEU004,Solaris,Staging,Germany,4
LPIRL004,Linux,Production,Ireland,4
SPDEU003,Solaris,Production,Germany,3
LIFRA001,Linux,Integration,France,1
HSIRL001,HP-UX,Staging,Ireland,1
LTDEU001,Linux,Testing,Germany,1
SIIRL003,Solaris,Integration,Ireland,3
SPITA002,Solaris,Production,Italy,2
SSIRL003,Solaris,Staging,Ireland,3
SPFRA002,Solaris,Production,France,2
APFRA001,AIX,Production,France,1
LSESP004,Linux,Staging,Spain,4
SSITA004,Solaris,Staging,Italy,4
LSNOR002,Linux,Staging,Norway,2
STDEU001,Solaris,Testing,Germany,1
SSNOR001,Solaris,Staging,Norway,1
LSESP005,Linux,Staging,Spain,5
STIRL004,Solaris,Testing,Ireland,4
SDIRL001,Solaris,Development,Ireland,1
LTDEU002,Linux,Testing,Germany,2
ATESP002,AIX,Testing,Spain,2
LSDEU003,Linux,Staging,Germany,3
LTNOR003,Linux,Testing,Norway,3
LTESP001,Linux,Testing,Spain,1
LTDEU003,Linux,Testing,Germany,3
ATIRL003,AIX,Testing,Ireland,3
LIDEU004,Linux,Integration,Germany,4
LTDEU004,Linux,Testing,Germany,4
SSIRL004,Solaris,Staging,Ireland,4
HPITA002,HP-UX,Production,Italy,2
SIDEU003,Solaris,Integration,Germany,3
AIIRL004,AIX,Integration,Ireland,4
ASDEU003,AIX,Staging,Germany,3
LPESP007,Linux,Production,Spain,7
APITA001,AIX,Production,Italy,1
LPESP008,Linux,Production,Spain,8
LDNOR001,Linux,Development,Norway,1
SSIRL005,Solaris,Staging,Ireland,5
APIRL002,AIX,Production,Ireland,2
SIIRL004,Solaris,Integration,Ireland,4
LPDEU003,Linux,Production,Germany,3
SIDEU004,Solaris,Integration,Germany,4
LDIRL002,Linux,Development,Ireland,2
SDDEU002,Solaris,Development,Germany,2
LSDEU004,Linux,Staging,Germany,4
LSIRL005,Linux,Staging,Ireland,5
LTESP002,Linux,Testing,Spain,2
LPIRL005,Linux,Production,Ireland,5
SSIRL006,Solaris,Staging,Ireland,6
ASNOR002,AIX,Staging,Norway,2
SSFRA002,Solaris,Staging,France,2
ASESP001,AIX,Staging,Spain,1
STESP001,Solaris,Testing,Spain,1
LTIRL005,Linux,Testing,Ireland,5
LTNOR004,Linux,Testing,Norway,4
ASIRL003,AIX,Staging,Ireland,3
ADFRA001,AIX,Development,France,1
LTITA002,Linux,Testing,Italy,2
LPDEU004,Linux,Production,Germany,4
APDEU003,AIX,Production,Germany,3
APDEU004,AIX,Production,Germany,4
ASESP002,AIX,Staging,Spain,2
LIITA001,Linux,Integration,Italy,1
SPDEU004,Solaris,Production,Germany,4
LTDEU005,Linux,Testing,Germany,5
SPIRL005,Solaris,Production,Ireland,5
SIDEU005,Solaris,Integration,Germany,5
SPITA003,Solaris,Production,Italy,3
LTIRL006,Linux,Testing,Ireland,6
SSESP001,Solaris,Staging,Spain,1
LPIRL006,Linux,Production,Ireland,6
LSIRL006,Linux,Staging,Ireland,6
HPIRL001,HP-UX,Production,Ireland,1
LPIRL007,Linux,Production,Ireland,7
SSITA005,Solaris,Staging,Italy,5
SDIRL002,Solaris,Development,Ireland,2
LSIRL007,Linux,Staging,Ireland,7
LSDEU005,Linux,Staging,Germany,5
ATIRL004,AIX,Testing,Ireland,4
LSDEU006,Linux,Staging,Germany,6
LTITA003,Linux,Testing,Italy,3
HSESP002,HP-UX,Staging,Spain,2
LTITA004,Linux,Testing,Italy,4
LPIRL008,Linux,Production,Ireland,8
LDDEU003,Linux,Development,Germany,3
STIRL005,Solaris,Testing,Ireland,5
HTIRL001,HP-UX,Testing,Ireland,1
HPFRA001,HP-UX,Production,France,1
ATIRL005,AIX,Testing,Ireland,5
LIIRL002,Linux,Integration,Ireland,2
STDEU002,Solaris,Testing,Germany,2
ASDEU004,AIX,Staging,Germany,4
SPFRA003,Solaris,Production,France,3
LSDEU007,Linux,Staging,Germany,7
SIESP001,Solaris,Integration,Spain,1
LIITA002,Linux,Integration,Italy,2
LSNOR003,Linux,Staging,Norway,3
LTITA005,Linux,Testing,Italy,5
SSITA006,Solaris,Staging,Italy,6
LPDEU005,Linux,Production,Germany,5
ATITA004,AIX,Testing,Italy,4
LTESP003,Linux,Testing,Spain,3
HTESP004,HP-UX,Testing,Spain,4
LPIRL009,Linux,Production,Ireland,9
ATDEU001,AIX,Testing,Germany,1
LSESP006,Linux,Staging,Spain,6
AIITA001,AIX,Integration,Italy,1
SPESP004,Solaris,Production,Spain,4
SPIRL006,Solaris,Production,Ireland,6
LPITA002,Linux,Production,Italy,2
LSDEU008,Linux,Staging,Germany,8
LSDEU009,Linux,Staging,Germany,9
LPIRL010,Linux,Production,Ireland,10
LIIRL003,Linux,Integration,Ireland,3
HTFRA001,HP-UX,Testing,France,1
LDDEU004,Linux,Development,Germany,4
APNOR001,AIX,Production,Norway,1
LPDEU006,Linux,Production,Germany,6
SIFRA002,Solaris,Integration,France,2
SPESP005,Solaris,Production,Spain,5
LIIRL004,Linux,Integration,Ireland,4
HDESP002,HP-UX,Development,Spain,2
HPIRL002,HP-UX,Production,Ireland,2
SPIRL007,Solaris,Production,Ireland,7
LDDEU005,Linux,Development,Germany,5
SSDEU005,Solaris,Staging,Germany,5
SSITA007,Solaris,Staging,Italy,7
AIDEU002,AIX,Integration,Germany,2
LPIRL011,Linux,Production,Ireland,11
ASDEU005,AIX,Staging,Germany,5
LPIRL012,Linux,Production,Ireland,12
SPESP006,Solaris,Production,Spain,6
SPIRL008,Solaris,Production,Ireland,8
LSESP007,Linux,Staging,Spain,7
LSITA004,Linux,Staging,Italy,4
STIRL006,Solaris,Testing,Ireland,6
LPESP009,Linux,Production,Spain,9
AIITA002,AIX,Integration,Italy,2
STIRL007,Solaris,Testing,Ireland,7
SSDEU006,Solaris,Staging,Germany,6
APIRL003,AIX,Production,Ireland,3
APIRL004,AIX,Production,Ireland,4
APITA002,AIX,Production,Italy,2
LPIRL013,Linux,Production,Ireland,13
LPIRL014,Linux,Production,Ireland,14
SPIRL009,Solaris,Production,Ireland,9
LPDEU007,Linux,Production,Germany,7
APIRL005,AIX,Production,Ireland,5
SPFRA004,Solaris,Production,France,4
ATDEU002,AIX,Testing,Germany,2
HDDEU001,HP-UX,Development,Germany,1
SPIRL010,Solaris,Production,Ireland,10
LPIRL015,Linux,Production,Ireland,15
HTIRL002,HP-UX,Testing,Ireland,2
HIIRL001,HP-UX,Integration,Ireland,1
HSFRA001,HP-UX,Staging,France,1
LTITA006,Linux,Testing,Italy,6
ADIRL002,AIX,Development,Ireland,2
HTDEU003,HP-UX,Testing,Germany,3
ADNOR001,AIX,Development,Norway,1
SSITA008,Solaris,Staging,Italy,8
LPESP010,Linux,Production,Spain,10
LPDEU008,Linux,Production,Germany,8
AIIRL005,AIX,Integration,Ireland,5
APIRL006,AIX,Production,Ireland,6
LDITA004,Linux,Development,Italy,4
STFRA002,Solaris,Testing,France,2
HTESP005,HP-UX,Testing,Spain,5
SPITA004,Solaris,Production,Italy,4
SDITA002,Solaris,Development,Italy,2
HTIRL003,HP-UX,Testing,Ireland,3
SSFRA003,Solaris,Staging,France,3
STESP002,Solaris,Testing,Spain,2
SIIRL005,Solaris,Integration,Ireland,5
LPFRA001,Linux,Production,France,1
LIDEU005,Linux,Integration,Germany,5
LPITA003,Linux,Production,Italy,3
ASIRL004,AIX,Staging,Ireland,4
LPFRA002,Linux,Production,France,2
ASFRA002,AIX,Staging,France,2
ATFRA003,AIX,Testing,France,3
LSIRL008,Linux,Staging,Ireland,8
LPESP011,Linux,Production,Spain,11
ASESP003,AIX,Staging,Spain,3
ATIRL006,AIX,Testing,Ireland,6
LSITA005,Linux,Staging,Italy,5
LDNOR002,Linux,Development,Norway,2
STDEU003,Solaris,Testing,Germany,3
SPIRL011,Solaris,Production,Ireland,11
LPITA004,Linux,Production,Italy,4
LSFRA002,Linux,Staging,France,2
SPIRL012,Solaris,Production,Ireland,12
ADFRA002,AIX,Development,France,2
APDEU005,AIX,Production,Germany,5
LSITA006,Linux,Staging,Italy,6
LSDEU010,Linux,Staging,Germany,10
SPNOR002,Solaris,Production,Norway,2
LPDEU009,Linux,Production,Germany,9
SPIRL013,Solaris,Production,Ireland,13
SSDEU007,Solaris,Staging,Germany,7
LSFRA003,Linux,Staging,France,3
LTIRL007,Linux,Testing,Ireland,7
HTITA002,HP-UX,Testing,Italy,2
SIIRL006,Solaris,Integration,Ireland,6
LDDEU006,Linux,Development,Germany,6
LDESP002,Linux,Development,Spain,2
HDFRA001,HP-UX,Development,France,1
SPESP007,Solaris,Production,Spain,7
HPITA003,HP-UX,Production,Italy,3
STIRL008,Solaris,Testing,Ireland,8
LPITA005,Linux,Production,Italy,5
ATITA005,AIX,Testing,Italy,5
SPITA005,Solaris,Production,Italy,5
HPIRL003,HP-UX,Production,Ireland,3
HDIRL002,HP-UX,Development,Ireland,2
ATESP003,AIX,Testing,Spain,3
STDEU004,Solaris,Testing,Germany,4
LPDEU010,Linux,Production,Germany,10
STESP003,Solaris,Testing,Spain,3
LTIRL008,Linux,Testing,Ireland,8
SDDEU003,Solaris,Development,Germany,3
LSIRL009,Linux,Staging,Ireland,9
SPIRL014,Solaris,Production,Ireland,14
LTDEU006,Linux,Testing,Germany,6
STDEU005,Solaris,Testing,Germany,5
HTNOR001,HP-UX,Testing,Norway,1
ADDEU001,AIX,Development,Germany,1
LSDEU011,Linux,Staging,Germany,11
SSIRL007,Solaris,Staging,Ireland,7
LTDEU007,Linux,Testing,Germany,7
APDEU006,AIX,Production,Germany,6
LTIRL009,Linux,Testing,Ireland,9
LPIRL016,Linux,Production,Ireland,16
STIRL009,Solaris,Testing,Ireland,9
HPFRA002,HP-UX,Production,France,2
LPDEU011,Linux,Production,Germany,11
LIIRL005,Linux,Integration,Ireland,5
SPIRL015,Solaris,Production,Ireland,15
HDDEU002,HP-UX,Development,Germany,2
ASESP004,AIX,Staging,Spain,4
LSDEU012,Linux,Staging,Germany,12
AIIRL006,AIX,Integration,Ireland,6
LIFRA002,Linux,Integration,France,2
LDDEU007,Linux,Development,Germany,7
AIITA003,AIX,Integration,Italy,3
LPIRL017,Linux,Production,Ireland,17
SDFRA001,Solaris,Development,France,1
APIRL007,AIX,Production,Ireland,7
SIDEU006,Solaris,Integration,Germany,6
STNOR001,Solaris,Testing,Norway,1
SPIRL016,Solaris,Production,Ireland,16
ASFRA003,AIX,Staging,France,3
STESP004,Solaris,Testing,Spain,4
HTESP006,HP-UX,Testing,Spain,6
HTDEU004,HP-UX,Testing,Germany,4
APESP003,AIX,Production,Spain,3
LTIRL010,Linux,Testing,Ireland,10
LINOR001,Linux,Integration,Norway,1
SSITA009,Solaris,Staging,Italy,9
LSITA007,Linux,Staging,Italy,7
STITA002,Solaris,Testing,Italy,2
LSESP008,Linux,Staging,Spain,8
HTIRL004,HP-UX,Testing,Ireland,4
HSITA001,HP-UX,Staging,Italy,1
LPDEU012,Linux,Production,Germany,12
LIDEU006,Linux,Integration,Germany,6
LTIRL011,Linux,Testing,Ireland,11
STITA003,Solaris,Testing,Italy,3
LDESP003,Linux,Development,Spain,3
STIRL010,Solaris,Testing,Ireland,10
SIIRL007,Solaris,Integration,Ireland,7
HSESP003,HP-UX,Staging,Spain,3
LSIRL010,Linux,Staging,Ireland,10
HTFRA002,HP-UX,Testing,France,2
LDESP004,Linux,Development,Spain,4
LIITA003,Linux,Integration,Italy,3
LPDEU013,Linux,Production,Germany,13
LTIRL012,Linux,Testing,Ireland,12
APDEU007,AIX,Production,Germany,7
SSDEU008,Solaris,Staging,Germany,8
SPIRL017,Solaris,Production,Ireland,17
LTIRL013,Linux,Testing,Ireland,13
HPITA004,HP-UX,Production,Italy,4
LIIRL006,Linux,Integration,Ireland,6
APIRL008,AIX,Production,Ireland,8
STESP005,Solaris,Testing,Spain,5
SSESP002,Solaris,Staging,Spain,2
LTESP004,Linux,Testing,Spain,4
APIRL009,AIX,Production,Ireland,9
LTESP005,Linux,Testing,Spain,5
APESP004,AIX,Production,Spain,4
STITA004,Solaris,Testing,Italy,4
LPIRL018,Linux,Production,Ireland,18
STIRL011,Solaris,Testing,Ireland,11
SIIRL008,Solaris,Integration,Ireland,8
SPIRL018,Solaris,Production,Ireland,18
LPESP012,Linux,Production,Spain,12
LPESP013,Linux,Production,Spain,13
SPITA006,Solaris,Production,Italy,6
LPDEU014,Linux,Production,Germany,14
ASDEU006,AIX,Staging,Germany,6
LTESP006,Linux,Testing,Spain,6
AIITA004,AIX,Integration,Italy,4
LTESP007,Linux,Testing,Spain,7
LPIRL019,Linux,Production,Ireland,19
SDNOR002,Solaris,Development,Norway,2
HPIRL004,HP-UX,Production,Ireland,4
LPFRA003,Linux,Production,France,3
LPDEU015,Linux,Production,Germany,15
HSFRA002,HP-UX,Staging,France,2
HTESP007,HP-UX,Testing,Spain,7
LPIRL020,Linux,Production,Ireland,20
STIRL012,Solaris,Testing,Ireland,12
LIFRA003,Linux,Integration,France,3
SSIRL008,Solaris,Staging,Ireland,8
STITA005,Solaris,Testing,Italy,5
LSNOR004,Linux,Staging,Norway,4
ASIRL005,AIX,Staging,Ireland,5
LTIRL014,Linux,Testing,Ireland,14
STNOR002,Solaris,Testing,Norway,2
LTITA007,Linux,Testing,Italy,7
HTIRL005,HP-UX,Testing,Ireland,5
LTITA008,Linux,Testing,Italy,8
STITA006,Solaris,Testing,Italy,6
LTESP008,Linux,Testing,Spain,8
SPNOR003,Solaris,Production,Norway,3
SPIRL019,Solaris,Production,Ireland,19
STDEU006,Solaris,Testing,Germany,6
LPESP014,Linux,Production,Spain,14
APESP005,AIX,Production,Spain,5
LDIRL003,Linux,Development,Ireland,3
LTESP009,Linux,Testing,Spain,9
STDEU007,Solaris,Testing,Germany,7
STDEU008,Solaris,Testing,Germany,8
SDITA003,Solaris,Development,Italy,3
HSIRL002,HP-UX,Staging,Ireland,2
SPFRA005,Solaris,Production,France,5
SSIRL009,Solaris,Staging,Ireland,9
HPIRL005,HP-UX,Production,Ireland,5
ATESP004,AIX,Testing,Spain,4
HSESP004,HP-UX,Staging,Spain,4
ADITA001,AIX,Development,Italy,1
LSDEU013,Linux,Staging,Germany,13
LPESP015,Linux,Production,Spain,15
LSNOR005,Linux,Staging,Norway,5
HSIRL003,HP-UX,Staging,Ireland,3
ASITA002,AIX,Staging,Italy,2
LTIRL015,Linux,Testing,Ireland,15
SPESP008,Solaris,Production,Spain,8
HPITA005,HP-UX,Production,Italy,5
APIRL010,AIX,Production,Ireland,10
LSIRL011,Linux,Staging,Ireland,11
LPIRL021,Linux,Production,Ireland,21
APDEU008,AIX,Production,Germany,8
SPESP009,Solaris,Production,Spain,9
APESP006,AIX,Production,Spain,6
LDIRL004,Linux,Development,Ireland,4
LTESP010,Linux,Testing,Spain,10
SPFRA006,Solaris,Production,France,6
HPDEU003,HP-UX,Production,Germany,3
SPIRL020,Solaris,Production,Ireland,20
SSIRL010,Solaris,Staging,Ireland,10
HSESP005,HP-UX,Staging,Spain,5
LIESP001,Linux,Integration,Spain,1
SSIRL011,Solaris,Staging,Ireland,11
SPITA007,Solaris,Production,Italy,7
STIRL013,Solaris,Testing,Ireland,13
HTIRL006,HP-UX,Testing,Ireland,6
ATFRA004,AIX,Testing,France,4
LTFRA003,Linux,Testing,France,3
HTNOR002,HP-UX,Testing,Norway,2
LPNOR001,Linux,Production,Norway,1
SPFRA007,Solaris,Production,France,7
SIIRL009,Solaris,Integration,Ireland,9
LPIRL022,Linux,Production,Ireland,22
STDEU009,Solaris,Testing,Germany,9
LIIRL007,Linux,Integration,Ireland,7
LPIRL023,Linux,Production,Ireland,23
ASIRL006,AIX,Staging,Ireland,6
LTIRL016,Linux,Testing,Ireland,16
LPDEU016,Linux,Production,Germany,16
HPFRA003,HP-UX,Production,France,3
LSIRL012,Linux,Staging,Ireland,12
LSIRL013,Linux,Staging,Ireland,13
LPFRA004,Linux,Production,France,4
LSIRL014,Linux,Staging,Ireland,14
HDIRL003,HP-UX,Development,Ireland,3
SSITA010,Solaris,Staging,Italy,10
APIRL011,AIX,Production,Ireland,11
LSDEU014,Linux,Staging,Germany,14
SSFRA004,Solaris,Staging,France,4
LIIRL008,Linux,Integration,Ireland,8
SDFRA002,Solaris,Development,France,2
LTIRL017,Linux,Testing,Ireland,17
HTIRL007,HP-UX,Testing,Ireland,7
LTITA009,Linux,Testing,Italy,9
LTIRL018,Linux,Testing,Ireland,18
SPIRL021,Solaris,Production,Ireland,21
ATITA006,AIX,Testing,Italy,6
SIDEU007,Solaris,Integration,Germany,7
SDIRL003,Solaris,Development,Ireland,3
LTITA010,Linux,Testing,Italy,10
APESP007,AIX,Production,Spain,7
LPITA006,Linux,Production,Italy,6
SSFRA005,Solaris,Staging,France,5
LPITA007,Linux,Production,Italy,7
STDEU010,Solaris,Testing,Germany,10
LSDEU015,Linux,Staging,Germany,15
APIRL012,AIX,Production,Ireland,12
ASITA003,AIX,Staging,Italy,3
AIITA005,AIX,Integration,Italy,5
LTIRL019,Linux,Testing,Ireland,19
HPIRL006,HP-UX,Production,Ireland,6
LTITA011,Linux,Testing,Italy,11
SSESP003,Solaris,Staging,Spain,3
STIRL014,Solaris,Testing,Ireland,14
HPDEU004,HP-UX,Production,Germany,4
SSITA011,Solaris,Staging,Italy,11
SDITA004,Solaris,Development,Italy,4
LIDEU007,Linux,Integration,Germany,7
LSIRL015,Linux,Staging,Ireland,15
SSIRL012,Solaris,Staging,Ireland,12
SPITA008,Solaris,Production,Italy,8
ASITA004,AIX,Staging,Italy,4
LIIRL009,Linux,Integration,Ireland,9
LDDEU008,Linux,Development,Germany,8
SDESP002,Solaris,Development,Spain,2
STITA007,Solaris,Testing,Italy,7
HIITA001,HP-UX,Integration,Italy,1
HSDEU001,HP-UX,Staging,Germany,1
LDFRA001,Linux,Development,France,1
LSDEU016,Linux,Staging,Germany,16
LTESP011,Linux,Testing,Spain,11
ASIRL007,AIX,Staging,Ireland,7
LPIRL024,Linux,Production,Ireland,24
SPITA009,Solaris,Production,Italy,9
LSNOR006,Linux,Staging,Norway,6
APIRL013,AIX,Production,Ireland,13
LPITA008,Linux,Production,Italy,8
SPESP010,Solaris,Production,Spain,10
SSESP004,Solaris,Staging,Spain,4
HTITA003,HP-UX,Testing,Italy,3
ATFRA005,AIX,Testing,France,5
LPFRA005,Linux,Production,France,5
LSITA008,Linux,Staging,Italy,8
ADESP002,AIX,Development,Spain,2
STITA008,Solaris,Testing,Italy,8
STDEU011,Solaris,Testing,Germany,11
AIIRL007,AIX,Integration,Ireland,7
LDDEU009,Linux,Development,Germany,9
LPESP016,Linux,Production,Spain,16
LPESP017,Linux,Production,Spain,17
APFRA002,AIX,Production,France,2
HPDEU005,HP-UX,Production,Germany,5
HPITA006,HP-UX,Production,Italy,6
LPITA009,Linux,Production,Italy,9
ADIRL003,AIX,Development,Ireland,3
LIDEU008,Linux,Integration,Germany,8
HPNOR001,HP-UX,Production,Norway,1
LPFRA006,Linux,Production,France,6
HSITA002,HP-UX,Staging,Italy,2
LPIRL025,Linux,Production,Ireland,25
SIIRL010,Solaris,Integration,Ireland,10
APDEU009,AIX,Production,Germany,9
HTIRL008,HP-UX,Testing,Ireland,8
STDEU012,Solaris,Testing,Germany,12
HPIRL007,HP-UX,Production,Ireland,7
APDEU010,AIX,Production,Germany,10
LPIRL026,Linux,Production,Ireland,26
STITA009,Solaris,Testing,Italy,9
SIIRL011,Solaris,Integration,Ireland,11
LIDEU009,Linux,Integration,Germany,9
SPIRL022,Solaris,Production,Ireland,22
LSIRL016,Linux,Staging,Ireland,16
SSITA012,Solaris,Staging,Italy,12
LINOR002,Linux,Integration,Norway,2
LTITA012,Linux,Testing,Italy,12
LIITA004,Linux,Integration,Italy,4
ATDEU003,AIX,Testing,Germany,3
ADITA002,AIX,Development,Italy,2
ASIRL008,AIX,Staging,Ireland,8
HPDEU006,HP-UX,Production,Germany,6
LSITA009,Linux,Staging,Italy,9
LSIRL017,Linux,Staging,Ireland,17
SIIRL012,Solaris,Integration,Ireland,12
LPIRL027,Linux,Production,Ireland,27
LDESP005,Linux,Development,Spain,5
LSDEU017,Linux,Staging,Germany,17
LPDEU017,Linux,Production,Germany,17
LTDEU008,Linux,Testing,Germany,8
LPITA010,Linux,Production,Italy,10
HTITA004,HP-UX,Testing,Italy,4
LPITA011,Linux,Production,Italy,11
ASFRA004,AIX,Staging,France,4
STESP006,Solaris,Testing,Spain,6
SPDEU005,Solaris,Production,Germany,5
SPDEU006,Solaris,Production,Germany,6
STIRL015,Solaris,Testing,Ireland,15
LSITA010,Linux,Staging,Italy,10
ASESP005,AIX,Staging,Spain,5
LTESP012,Linux,Testing,Spain,12
LSIRL018,Linux,Staging,Ireland,18
AIIRL008,AIX,Integration,Ireland,8
LTIRL020,Linux,Testing,Ireland,20
HTDEU005,HP-UX,Testing,Germany,5
LTFRA004,Linux,Testing,France,4
LPDEU018,Linux,Production,Germany,18
SSITA013,Solaris,Staging,Italy,13
ASIRL009,AIX,Staging,Ireland,9
HTDEU006,HP-UX,Testing,Germany,6
LPIRL028,Linux,Production,Ireland,28
STDEU013,Solaris,Testing,Germany,13
SPDEU007,Solaris,Production,Germany,7
SSESP005,Solaris,Staging,Spain,5
LTDEU009,Linux,Testing,Germany,9
LIDEU010,Linux,Integration,Germany,10
SDDEU004,Solaris,Development,Germany,4
LSFRA004,Linux,Staging,France,4
ATIRL007,AIX,Testing,Ireland,7
SIESP002,Solaris,Integration,Spain,2
SPITA010,Solaris,Production,Italy,10
ATESP005,AIX,Testing,Spain,5
HTESP008,HP-UX,Testing,Spain,8
HTIRL009,HP-UX,Testing,Ireland,9
LPITA012,Linux,Production,Italy,12
ADIRL004,AIX,Development,Ireland,4
SSDEU009,Solaris,Staging,Germany,9
SDESP003,Solaris,Development,Spain,3
LTFRA005,Linux,Testing,France,5
HDITA001,HP-UX,Development,Italy,1
LPIRL029,Linux,Production,Ireland,29
SIDEU008,Solaris,Integration,Germany,8
LIESP002,Linux,Integration,Spain,2
LPDEU019,Linux,Production,Germany,19
LSITA011,Linux,Staging,Italy,11
SIITA002,Solaris,Integration,Italy,2
STESP007,Solaris,Testing,Spain,7
LTDEU010,Linux,Testing,Germany,10
LPNOR002,Linux,Production,Norway,2
LTDEU011,Linux,Testing,Germany,11
LDDEU010,Linux,Development,Germany,10
ATESP006,AIX,Testing,Spain,6
SSESP006,Solaris,Staging,Spain,6
LTNOR005,Linux,Testing,Norway,5
SPITA011,Solaris,Production,Italy,11
ASIRL010,AIX,Staging,Ireland,10
SSDEU010,Solaris,Staging,Germany,10
